編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLSJJIIGFCF08EA,36,29.25,住家用,鋼筋混凝土造,77年1月21日,五層,三層 陽台,持分移轉
RPUOMLQJJIIGFHF78DA,56,21.24,住家用,加強磚造,57年1月10日,四層,四層,持分移轉
RPQTMLLJJIIGFAF67DA,47,23.69,住家用,加強磚造,65年8月30日,四層,四層,持分移轉
RPUNMLKKJIIGFCF67DA,25,45.74,共有部份,鋼筋混凝土造,88年4月6日,十四層,,持分移轉
RPXOMLSJJIIGFGF66EA,16,.12,商業用,鋼筋混凝土造,97年4月28日,十三層,一層,持分移轉
RPXOMLSJJIIGFGF66EA,16,117.25,住家用,鋼筋混凝土造,97年4月28日,十三層,十三層 陽台 雨遮,全筆移轉
RPXOMLSJJIIGFGF66EA,16,30.46,共有部份,鋼筋混凝土造,97年4月28日,十三層,,持分移轉
RPXOMLSJJIIGFGF66EA,16,107.27,共有部份,鋼筋混凝土造,97年4月28日,十三層,,持分移轉
RPXOMLSJJIIGFGF66EA,16,13.75,共有部份,鋼筋混凝土造,97年4月28日,十三層,,持分移轉
RPOPMLSJJIIGFGF48EA,16,.04,商業用,鋼筋混凝土造,97年4月28日,十三層,一層,持分移轉
RPOPMLSJJIIGFGF48EA,16,90.47,住家用,鋼筋混凝土造,97年4月28日,十三層,二層 陽台 雨遮,全筆移轉
RPOPMLSJJIIGFGF48EA,16,23.44,共有部份,鋼筋混凝土造,97年4月28日,十三層,,持分移轉
RPOPMLSJJIIGFGF48EA,16,35.76,共有部份,鋼筋混凝土造,97年4月28日,十三層,,持分移轉
RPOPMLSJJIIGFGF48EA,16,10.46,共有部份,鋼筋混凝土造,97年4月28日,十三層,,持分移轉
RPQNMLTJJIIGFFF38DA,29,118.60,廠房,鋼筋混凝土造,83年5月7日,五層,五層 陽台 雨遮,全筆移轉
RPQNMLTJJIIGFFF38DA,29,3.38,共有部分,鋼筋混凝土造,83年5月7日,五層,,持分移轉
RPQNMLTJJIIGFFF38DA,29,15.52,共有部分,鋼筋混凝土造,83年5月7日,五層,,持分移轉
RPSOMLNKJIIGFHF38DA,20,29.50,住家用,鋼筋混凝土造,92年8月5日,十二層,十一層 陽台,全筆移轉
RPSOMLNKJIIGFHF38DA,20,5.52,共有部份,鋼筋混凝土造,92年8月5日,十二層,,持分移轉
