鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
三峽區,土地,麻園段1255地號,1.56,,一般農業區,甲種建築用地,1130902,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,15000,9615,,0.0,0,地上有他人佔用，賣方不負排除責任。未登記建物；,RPVPMLMJRHJGFIF86DA,0.0,0.0,0.0,無,
瑞芳區,土地,四腳亭段粗坑口小段93地號,511.0,,山坡地保育區,丙種建築用地,1130901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,3914,,0.0,0,,RPQNMLMJRHJGFFF48DA,0.0,0.0,0.0,無,
新莊區,土地,瓊泰段56地號,67.7,住,,,1130902,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8200000,121123,,0.0,0,,RPPNMLPJRHJGFBF38EA,0.0,0.0,0.0,無,
新莊區,土地,瓊泰段292-2地號,130.74,住,,,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,16610000,127046,,0.0,0,,RPQNMLPJRHJGFBF48EA,0.0,0.0,0.0,無,00001
新莊區,土地,瓊泰段293-2地號,151.52,住,,,1130902,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,19250000,127046,,0.0,0,,RPRNMLPJRHJGFBF58EA,0.0,0.0,0.0,無,00002
瑞芳區,建物,新北市瑞芳區魚寮路１７３之１號,0.0,,,,1130903,土地0建物1車位0,全,一層,透天厝,住家用,木石磚造〈磚石造〉,0540110,33.86,1,1,1,有,無,80000,2363,,0.0,0,建物坐落地號：三爪子段烏塗窟小段168地號；其他增建；,RPPNMLTJRHJGFFF56EA,33.86,0.0,0.0,無,
中和區,土地,圓通段422地號,2.53,都市：其他:道路用地,,,1130801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,466532,184400,,0.0,0,包含公共設施保留地用地；,RPPNMLMJQHJGFHF48DA,0.0,0.0,0.0,無,00003
中和區,土地,南工段294地號,0.45,都市：其他:道路用地,,,1130801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,97944,0,,0.0,0,包含公共設施保留地用地；,SPPNMLMJQHJGFHF58DA,0.0,0.0,0.0,無,00004
石碇區,土地,崩山段磨石坑小段251-9地號,715.33,,山坡地保育區,農牧用地,1130802,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1193500,1668,,0.0,0,,RPOOMLQJQHJGFCF38DA,0.0,0.0,0.0,無,
