鄉鎮市區,建案名稱,坐落街道,起造人,層棟戶數,使用分區,主要用途,主要建材,申報備查日期,銷售期間,坐落基地,建照核發日期,建造執照,第1次登記日期,編號
TOWN,BUILDCASE,LOCATION,BUILDER,HOUSEHOLD,USEZONING,MAINUSE,MAINMATERIAL,DECLAREDATE,SELLINGPERIOD,BUILDINGLANDS,BUILDINGPERMITDATE,BUILDINGPERMITNO,FIRST REGISTRATION DATE,NUMBER
大安區,潤泰大安富陽,臥龍街268號,潤泰創新國際股份有限公司,130,第三種住宅區,店舖、住宅,鋼筋混凝土造,1100702,自售:1100701~自完售止;1100701~售完為止;,辛亥段四小段482地號,1080911,108建字第0168號,,G1A01100702000700
大同區,亞昕華威,延平北路一段25號旁,中國建築經理股份有限公司,130,商業區,住商用,鋼骨RC造,1100702,自售:1090601~1091231;事務所;代銷:1100501~1111130;,玉泉段一小段874地號,1070103,107建字第0001號,1130709,QPRNMLMJPHGGFDA87DG
松山區,敦仰,敦化北路56號,台新建築經理股份有限公司,65,敦化南北路特定專用區(B區),一般零售業甲組(店舖);集合住宅,鋼骨造,1100705,自售:無;代銷:110年10月21日起至使照取得6個月止;,敦化段二小段4地號,1100611,110建字第0139號,,SPRNMLPJPHGGFDA38DG
士林區,原禾賦,德行東路335號,台灣新光商業銀行股份有限公司,27,第三種住宅區,住商用,鋼筋混凝土造,1100705,自售:無;代銷:1100701~1101231;,芝蘭段一小段320地號,1080530,108建字第0100號,,TPPNMLPJPHGGFDA18CG
大安區,富邦藝樹,建安里敦化南路一段161巷5弄6號2樓,富邦建設股份有限公司,60,敦化南北路特定專用區(A)區,住商用,鋼骨造,1100705,自售:至完銷;代銷:1100301~1101031;,仁愛段六小段244地號,1091029,109建字第0243號,,SPQNMLPJPHGGFDA18CG
萬華區,萬大境,西園路二段261巷12弄35號共9筆,台新建築經理股份有限公司,56,住宅區,住家用,鋼筋混凝土造,1100706,自售:1130520~1140630;代銷:1100526~1111031;案前作業開始;,雙園段三小段406地號,1100512,110建字第0116號,1141021,G2A01100706000203
松山區,筑丰敦匯,北寧路32巷5號,筑丰興業股份有限公司,78,第三種住宅區、第三之一種住宅區,住商用,鋼骨鋼筋混凝土造,1100708,自售:1100406~1101030;代銷:1091101~1101030;此為代銷合約日期;,美仁段二小段831-3地號,1100401,110建字第0086號,,QPPNMLSJPHGGFDA28DG
北投區,天母常玉,東華街一段550號,立樺建設股份有限公司,201,商業區,飲食業、一般事務所、多戶住宅,鋼骨鋼筋混凝土造,1100708,自售:無;代銷:1090828~1141231;代銷期至第一戶交屋後一個月，約1141231;,振興段四小段166-2地號,1091208,109建字第0271號,,QPQNMLSJPHGGFDA28CG
大安區,大安謙?,大安路一段206巷15號,興富謙建設股份有限公司,23,第四種住宅區,住商用,鋼筋混凝土造,1100708,自售:無;代銷:1100701~1101130;,復興段三小段770地號,1100412,1100089,1140721,QPRNMLSJPHGGFDA48DG
士林區,山隱曼曼,中正路213巷47號等六筆門牌,長澤建設股份有限公司,19,第三種商業區(依都市計畫說明書圖規定辦理，始得作第三種商業區使用)(原屬第三種住宅區),住家用,鋼筋混凝土造,1100708,自售:1100708~1101231;,光華段一小段193地號,1100624,110建字第0152號,,QPQNMLSJPHGGFDA38DG
北投區,康寶日出印象,大度路三段301巷,康寶建設股份有限公司,60,住宅區,防空避難室兼停車空間，停車空間，一般零售業甲組，公共服務空間，公共設施，多戶住宅,鋼筋混凝土造,1100708,自售:無;代銷:1100325~1110425;,關渡段二小段303地號,1100426,110建字第0103號,,QPPNMLSJPHGGFDA18CG
北投區,捷運晶鑽,民權街8，10號,金鑽號事業有限公司,22,第三種住宅區,住宅,rc造,1100709,自售:1100701~1110701;,奇岩段四小段77地號,1100628,110建字第0157號,,QPRNMLTJPHGGFDA48CG
內湖區,金矽谷環球旗艦總部,週美里新明路,臺億建築經理股份有限公司 負責人:紀玉枝,79,第參種工業區,策略性產業  一般服務業  公害較輕微之工業,鋼骨RC造(供公眾使用建築物),1100709,自售:1100701~1151231;,潭美段三小段711地號,1091118,109建字第0256號,,G1A01100709000101
內湖區,金矽谷全球經貿中心,湖元里新湖一路,中華建築經理股份有限公司 負責人:鍾榮吉等1人,15,科技工業區(C區,不得作住宅使用),攝影棚   一般事務所  公害較輕微之工業,鋼骨造(供公眾使用建築物),1100709,自售:1100701~1151231;,舊宗段16-3地號,1100326,110建字第0078號,1140612,G1A01100709000201
文山區,蔚來之森,福興路97號,恆德建設股份有限公司,58,第二種住宅區、第三種住宅區,多戶住宅,鋼筋混凝土造,1100713,自售:無;代銷:11006~11011;,興隆段一小段300地號,1100204,110建字第0035號,1141028,QPPNMLNKPHGGFDA77CG
北投區,達永豐盛學,長安里中央北路一段,達永開發股份有限公司,135,商3,一般零售業(甲組)  一般事務所   集合住宅,鋼骨RC造(供公眾使用建築物),1100714,自售:1100801~1110430;代銷:代銷期間為109年11月5日至使照取得9個月止為合約有效期間；預售階段,以取得建照日起九個月為銷售期;,大業段一小段401地號,1100709,110建字第0172號,,SPPNMLOKPHGGFDA18DG
南港區,國泰悠陽,台北市東新里向陽路120巷2弄,國泰建設股份有限公司,112,第三種住宅區(特),店舖、集合住宅,RC造 (供公眾使用建築物),1100714,自售:無;代銷:1090528~1140331;,南港段三小段274地號,1100625,110建字0153號,,QPPNMLOKPHGGFDA87CG
內湖區,麗湖嵐天,金湖路347巷,邑軒建設股份有限公司,12,第二種住宅區,住家用,鋼筋混凝土造,1100716,自售:無;代銷:1100415~1110414;,石潭段四小段108地號,1100702,110建字第0160號,1130416,G1A01100716000100
中山區,南京葒,松江路108巷22號,復翔建設有限公司,33,第三種住宅區,住宅,RC,1100720,自售:無;代銷:1091201~1100831;,長安段三小段590地號,1090703,109建字0139號,,G1A01100720000100
北投區,力麒天沐,天母西路120巷,台新建築經理股份有限公司,42,第參種商業區、第參種住宅區,住宅,鋼骨造,1100721,自售:1100101~1111231;,振興段一小段15地號,1070207,107建字第0031號,1120303,QPPNMLLLPHGGFDA77DG
中山區,序東騰,吉林路14巷18號,東騰開發股份有限公司,37,第三種住宅區,住家用,鋼骨RC造,1100721,自售:無;代銷:1100105~自完售止;110年1月5日起至使用執照取得;,長安段三小段733地號,1100617,110建字第0143號,,G1A01100721000100
南港區,遠雄宜進I-CITY,南港區西新里成功路一段,遠雄建設事業(股)公司、光明絲織廠(股)公司、宜進實業(股)公司、大田國際開發(股)公司,98,第?種工業區,C1工廠,RC造(供公眾使用建築物),1100722,自售:無;代銷:1100719~1120316;,玉成段一小段36-8地號,1090410,109建字第0080號,1121130,QPPNMLMLPHGGFDA77CG
北投區,旺德福,台北市北投區溫泉里民族街13巷6號,德旺開發建設股份有限公司,24,第三種住宅區,住家用,鋼筋混凝土造,1100726,自售:無;代銷:1091101~1101231;,溫泉段二小段247地號,1090707,109建字第0141號,,QPPNMLQLPHGGFDA18CG
北投區,春聚,石牌路二段317號,永陞建設股份有限公司,29,第三種住宅區,住家用,鋼筋混凝土造,1100727,自售:無;代銷:1100801~1110401;,行義段四小段402地號,1100722,110建字第0182號,1140512,QPPNMLRLPHGGFDA28CG
中山區,?山,正守里林森北路67巷,廣陞建設股份有限公司,22,第參種商業區(原屬第參種住宅區),住家用、店鋪,鋼筋混凝土造,1100729,自售:1100729~自完售止;即日起至使用執照取得後六個月內;代銷:即日起至使用執照取得後六個月內;,正義段一小段341地號,1100201,110建字第0030號,1131024,G1A01100729000102
大同區,宏國大道城B區,承德路二段,臺億建築經理股份有限公司,164,第三種商業區 第四種住宅區,住商用,鋼骨造,1100730,自售:無;代銷:1100625~1111130;自公開銷售日起至結案止;,圓環段一小段329地號,1061130,106建字第0215號,1140313,YPQNMLKMPHGGFDA68DG
中山區,中山鴻鼎,中山北路二段100號,利大建設股份有限公司,52,第三種商業區,住商用,鋼筋混凝土造,1100730,自售:尚未制定明確銷售期間;,中山段四小段21地號,1100121,110建字第0017號,,QPRNMLKMPHGGFDA97DG
