鄉鎮市區,建案名稱,坐落街道,起造人,層棟戶數,使用分區,主要用途,主要建材,申報備查日期,銷售期間,坐落基地,建照核發日期,建造執照,第1次登記日期,編號
TOWN,BUILDCASE,LOCATION,BUILDER,HOUSEHOLD,USEZONING,MAINUSE,MAINMATERIAL,DECLAREDATE,SELLINGPERIOD,BUILDINGLANDS,BUILDINGPERMITDATE,BUILDINGPERMITNO,FIRST REGISTRATION DATE,NUMBER
鶯歌區,立瑾綻,鳳吉一街,立澄建設股份有限公司負責人:黃豐佐,10,住宅區,住宅,鋼筋混凝土造,1100701,自售:1100712~1101231;,鳳福段298地號,1100622,110鶯建字第00297號,1120919,G1FI1100701000103
中和區,璞陽科技大樓,中正路1178號,僑馥建築經理股份有限公司,22,乙種工業區,作業廠房,鋼骨鋼筋混凝土,1100701,自售:1100701~1130831;,新民段46地號,1121026,108中建字第00500-03號,1140303,YPPNMLLJPHGGFHF66DG
三重區,亞昕淳白,大有街與頂崁街210巷28弄交叉口,亞昕國際開發股份有限公司,211,住宅區,集合住宅(H2)、商場(B2),鋼筋混凝土造,1100702,自售:無;代銷:建照核發後開始銷售至本建案使用執照取得後六個月止;,三重段90地號,1100609,110重建字第00270號,1131211,QPPNMLMJPHGGFGF48DG
新莊區,A3寰宇一號,新北大道三段,?萊建設股份有限公司,91,第一種商業區,一般事務所G2、一般零售業G3,鋼筋混凝土造,,自售:1100707~1101130;,新知段90地號,1090423,108莊建字第00011-02號,1110419,G1FB1100706000100
淡水區,青澤,民權路,允鵬建設股份有限公司(負責人：邱福地),297,第四種住宅區,集合住宅、餐飲業、辦公室、商場,鋼筋混凝土造,1100708,自售:1100715~自完售止;110年7月15日起至銷售完畢;,馬偕段152地號,1090213,103淡建字第00162-1號,,TPPNMLSJPHGGFEF09CG
永和區,恆詠,中山路1段100號,恆岳建設股份有限公司 代表人:張中嶽,96,住宅區、商業區,店鋪 集合住宅,鋼筋混凝土造,,自售:無;代銷:1100705~1110131;取得建照至111年1月31日;,信義段1135地號,1100621,110永建字第00292號,,QPPNMLTJPHGGFHF56CG
淡水區,海鷗日光,中正東路一段111巷30號,合創開發股份有限公司負責人：林正偉,22,第四種住宅區,H2集合住宅,鋼筋混凝土構造,1100712,自售:1100727~1111231;,海鷗段1008地號,1100112,110淡建字第00020號,1140616,TPPNMLMKPHGGFEF58CG
林口區,竹林苑,竹林路606巷,金東興建設股份有限公司,22,第二種住宅區,集合住宅(H2),鋼筋混凝土造,1100714,自售:1100801~1130531;,佳林段151地號,1100201,110林建字第00120號,1130808,QPQNMLOKPHGGFBF28CG
永和區,比漾好境,永貞路,東家建設股份有限公司(負責人：邱福地),125,商業區,店鋪G-3住宅H-2一般事務所G-2,鋼筋混凝土造,1100727,自售:1100801~自完售止;110年08月01日至銷售完畢;,保平段266地號,1071113,107永建字第00498號,,SPQNMLRLPHGGFHF86CG
