編號,土地位置
NUMBER,BUILDINGLANDS
YPPNMLLJPHGGFHF66DG,新民段46-1地號
YPPNMLLJPHGGFHF66DG,新民段47地號
YPPNMLLJPHGGFHF66DG,新民段47-2地號
QPPNMLMJPHGGFGF48DG,三重段91地號
QPPNMLMJPHGGFGF48DG,三重段100地號
QPPNMLMJPHGGFGF48DG,三重段101地號
QPPNMLMJPHGGFGF48DG,三重段92地號
QPPNMLMJPHGGFGF48DG,三重段93地號
QPPNMLMJPHGGFGF48DG,三重段94地號
QPPNMLMJPHGGFGF48DG,三重段95地號
QPPNMLMJPHGGFGF48DG,三重段96地號
QPPNMLMJPHGGFGF48DG,三重段97地號
QPPNMLMJPHGGFGF48DG,三重段98地號
QPPNMLMJPHGGFGF48DG,三重段99地號
TPPNMLSJPHGGFEF09CG,馬偕段154-4地號
QPPNMLTJPHGGFHF56CG,信義段1135-1地號
QPPNMLTJPHGGFHF56CG,信義段1136地號
QPPNMLTJPHGGFHF56CG,信義段1145地號
QPPNMLTJPHGGFHF56CG,信義段1148地號
QPPNMLTJPHGGFHF56CG,信義段1146地號
QPPNMLTJPHGGFHF56CG,信義段1146-1地號
TPPNMLMKPHGGFEF58CG,海鷗段1009地號
QPQNMLOKPHGGFBF28CG,佳林段152地號
SPQNMLRLPHGGFHF86CG,保平段267地號
SPQNMLRLPHGGFHF86CG,保平段276地號
SPQNMLRLPHGGFHF86CG,保平段544地號
SPQNMLRLPHGGFHF86CG,保平段545地號
SPQNMLRLPHGGFHF86CG,保平段549地號
SPQNMLRLPHGGFHF86CG,保平段550地號
SPQNMLRLPHGGFHF86CG,保平段268地號
SPQNMLRLPHGGFHF86CG,保平段269地號
SPQNMLRLPHGGFHF86CG,保平段270地號
SPQNMLRLPHGGFHF86CG,保平段271地號
SPQNMLRLPHGGFHF86CG,保平段272地號
SPQNMLRLPHGGFHF86CG,保平段273地號
SPQNMLRLPHGGFHF86CG,保平段274地號
SPQNMLRLPHGGFHF86CG,保平段275地號
