編號,建照核發日期,建造執照
NUMBER,BUILDINGPERMITDATE,BUILDINGPERMITNO
QPPNMLMLIIGGFBF47CG,1090103,109林建字第00004號
TPPNMLPKJIGGFBF08CG,1121019,110莊建字第00463-02號
TPPNMLTJNHHGFAF68CG,1110914,111土建字第00158-01號
VPRNMLNLRHHGFHF17CG,1110901,110中建字第00176號-1
VPRNMLNLRHHGFHF17CG,1120811,110中建字第00176號-2
VPPNMLTKJHIGFCF88CG,1120418,111店建字第00463-01號
TPPNMLRKMHIGFGF56CG,1110323,110重建字第00264-01號
SPPNMLTKMHIGFEF56DG,1120221,112淡建字第00044號
SPPNMLTKMHIGFEF56DG,1120301,112淡建字第00050號
SPPNMLTKMHIGFEF56DG,1120310,112淡建字第00061號
QPPNMLPLMHIGFAF28DG,1120322,109土建00177-1
QPPNMLRKKHKGFAF28CG,1120727,112土建字第00255號
QPPNMLPJJIKGFGF58CG,1140312,110蘆建字第00453-01號
