地區,鄉鎮市區,土地位置建物門牌,交易標的,交易年月,交易年_西元,交易月,總價_萬,坪數,車位價格_萬,車位面積_坪,不含車位總價_萬,不含車位坪數,不含車位單價_萬坪,建物型態,屋齡,移轉層次,總樓層數,戶型,房數,廳數,衛數,有無管理組織,是否預售屋,備註,編號
台北市,信義區,臺北市信義區崇德街８１巷８號,房地(土地+建物),2024-02,2024,2,3810.0,30.086605622256705,0.0,0.0,3810.0,30.086605622256705,126.63442489442993,透天厝,100,全,二層,7房0廳7衛,7,0,7,無,False,頂樓加蓋；,RPPNMLRJKHJGFDA57EA
台北市,松山區,臺北市松山區民生東路三段１１３巷６弄１號六樓,房地(土地+建物),2024-02,2024,2,3280.0,50.04250118731075,0.0,0.0,3280.0,50.04250118731075,65.54428580064075,華廈(10層含以下有電梯),0,六層,七層,3房2廳2衛,3,2,2,有,False,,RPROMLPKKHJGFDA67DA
台北市,信義區,臺北市信義區忠孝東路五段３６５號二樓之１３,房地(土地+建物),2024-02,2024,2,1800.0,12.877406005826142,0.0,0.0,1800.0,12.877406005826142,139.7797040169133,住宅大樓(11層含以上有電梯),0,二層,十一層,1房1廳1衛,1,1,1,有,False,,RPWNMLPKKHJGFDA08DA
台北市,內湖區,臺北市內湖區金龍路２２２巷４號十一樓,房地(土地+建物),2024-02,2024,2,1908.0,30.82167953802268,0.0,0.0,1908.0,30.82167953802268,61.90447855530474,住宅大樓(11層含以上有電梯),0,十一層,十一層,3房2廳2衛,3,2,2,有,False,陽台外推；,RPSNMLTKKHJGFCA97DA
台北市,大同區,臺北市大同區寧夏路６３號六樓之２,房地(土地+建物)+車位,2024-02,2024,2,988.0,18.72472238103449,0.0,5.850341370746478,988.0,12.874381010288012,76.74155357142855,華廈(10層含以下有電梯),0,六層,八層,1房1廳1衛,1,1,1,有,False,陽台外推；其他增建；,RPPOMLRKKHJGFBA47DA
台北市,大安區,臺北市大安區溫州街７４巷３弄２號六樓之４,房地(土地+建物),2024-02,2024,2,1268.0,11.36188324122222,0.0,0.0,1268.0,11.36188324122222,111.60121725239615,華廈(10層含以下有電梯),0,六層,七層,2房1廳1衛,2,1,1,有,False,陽台外推；,RPQNMLKLKHJGFFA37EA
台北市,松山區,臺北市松山區南京東路四段９５號十樓,房地(土地+建物),2024-02,2024,2,1920.0,24.904788265437308,0.0,0.0,1920.0,24.904788265437308,77.0936086481234,住宅大樓(11層含以上有電梯),0,十層,十二層,2房1廳0衛,2,1,0,有,False,陽台外推；,RPRNMLLLKHJGFDA37EA
台北市,文山區,臺北市文山區羅斯福路五段１７號四樓,房地(土地+建物),2024-02,2024,2,1700.0,27.77853402666231,0.0,0.0,1700.0,27.77853402666231,61.19833387781771,公寓(5樓含以下無電梯),0,四層，陽臺,五層,3房1廳1衛,3,1,1,無,False,,RPSNMLLLKHJGFAA07DA
台北市,中正區,臺北市中正區連雲街７７號二樓,房地(土地+建物),2024-02,2024,2,2330.0,24.64161365361986,0.0,0.0,2330.0,24.64161365361986,94.555495948932,公寓(5樓含以下無電梯),0,二層,五層,3房2廳1衛,3,2,1,無,False,陽台外推；,RPRNMLLLKHJGFBA07DA
台北市,松山區,臺北市松山區饒河街７６號,房地(土地+建物),2024-02,2024,2,3500.0,17.14264971459167,0.0,0.0,3500.0,17.14264971459167,204.1691371095818,公寓(5樓含以下無電梯),0,一層，騎樓,四層,0房0廳0衛,0,0,0,無,False,,RPUNMLOJJHJGFDA67EA
台北市,文山區,臺北市文山區汀州路四段２０３號五樓,房地(土地+建物)+車位,2024-02,2024,2,1200.0,19.13309677868225,0.0,0.0,1200.0,19.13309677868225,62.718545454545456,住宅大樓(11層含以上有電梯),0,五層,十四層,3房2廳2衛,3,2,2,有,False,車位定期抽籤,RPUNMLMLKHJGFAA37DA
台北市,中山區,臺北市中山區新生北路三段３４號二樓之５,房地(土地+建物),2024-02,2024,2,1000.0,14.792228181463432,0.0,0.0,1000.0,14.792228181463432,67.60306748466257,華廈(10層含以下有電梯),0,二層,十層,1房1廳1衛,1,1,1,有,False,陽台外推；其他增建；,RPUNMLPKKHJGFCA77DA
台北市,北投區,臺北市北投區紗帽路１１６之９號,房地(土地+建物),2024-02,2024,2,398.0,11.564557942277034,0.0,0.0,398.0,11.564557942277034,34.41549620716715,華廈(10層含以下有電梯),0,一層,十層,1房0廳1衛,1,0,1,有,False,陽台外推；,RPSOMLKLKHJGFEA47DA
台北市,信義區,臺北市信義區虎林街１２０巷１４號,房地(土地+建物),2024-02,2024,2,3049.0,28.096158558166124,0.0,0.0,3049.0,28.096158558166124,108.5201734496124,透天厝,0,全,二層,2房2廳2衛,2,2,2,無,False,1、2樓格局各為1房1廳1衛,RPSNMLNLKHJGFDA57DA
台北市,萬華區,臺北市萬華區青年路１０６巷３０弄２８號三樓,房地(土地+建物),2024-02,2024,2,500.0,9.43193608789427,0.0,0.0,500.0,9.43193608789427,53.011385503527904,公寓(5樓含以下無電梯),0,三層,五層,1房1廳1衛,1,1,1,無,False,,RPTNMLNLKHJGFBA57EA
台北市,信義區,臺北市信義區基隆路一段１４３號九樓,房地(土地+建物),2024-02,2024,2,2600.0,30.11988057317616,0.0,0.0,2600.0,30.11988057317616,86.32172341066587,住宅大樓(11層含以上有電梯),0,九層,十三層,1房1廳1衛,1,1,1,有,False,,RPTNMLNLKHJGFDA67DA
